clique_id,lemma,upos,affix,stem,synonyms,hypernyms
105,draw,VBD,ed,draw,absorb|attract|cast|delineate|depict|describe|disembowel|drag|draw|draw and quarter|draw in|draw off|eviscerate|get|get out|guide|imbibe|line|make|pass|puff|pull|pull back|pull in|pull out|quarter|reap|run|soak up|sop up|string|suck|suck up|take in|take out|take up|thread|tie|trace|withdraw,move|displace|derive|gain|mark|create by mental act|create mentally|remove|take|take away|withdraw|represent|interpret|set forth|expound|exposit|choose|select|pick out|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke|inhale|inspire|breathe in|travel|go|locomote|effect|effectuate|set up|change|alter|modify|write|compose|pen|indite|create|close|shut|be|necessitate|ask|postulate|need|require|involve|call for|demand|kill|pull|draw|arrange|stretch|equal|match|equalize|equalise|equate|change shape|change form|deform|thin|steep|infuse|shape|form|localize|localise
105,become,VBD,ed,becom,become|get|go|suit|turn,change state|turn|transform|transmute|metamorphose|fancify|beautify|embellish|prettify
105,clear,JJ,NA,clear,absolved|clean|clean-cut|clear|clear-cut|clear(p)|cleared|decipherable|exculpated|exonerated|light|open|percipient|readable|unclouded|unmortgaged|vindicated|well-defined,
105,chinese,JJ,NA,chines,Chinese|Formosan|Taiwanese,
105,government,NN,NA,govern,administration|authorities|governance|governing|government|government activity|political science|politics|regime,polity|social control|system|system of rules|social science
105,have,VBD,ed,have,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
105,intention,NN,NA,intent,aim|design|intent|intention|purpose,goal|end|goal|end|volition|willing
105,renew,VBG,ing,renew,regenerate|reincarnate|renew,re-create|regenerate|restore|rejuvenate
105,99,CD,NA,99,NA,NA
106,year,NN,NA,year,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
106,lease,NN,NA,leas,lease|letting|rental|term of a contract,property|belongings|holding|contract|time period|period of time|period
106,new,NNP,NA,new,,NA
106,territory,NNPS,s,territori,district|dominion|soil|territorial dominion|territory,region|area|geographical area|geographic area|geographical region|geographic region
107,negotiation,NNS,s,negoti,dialogue|negotiation|talks,discussion|give-and-take|word|activity
107,begin,VBD,ed,begin,begin|commence|get|get down|lead off|set about|set out|start|start out,talk|speak|utter|mouth|verbalize|verbalise|be|act|move|achieve|accomplish|attain|reach
107,1984,CD,NA,1984,NA,NA
107,prime,NNP,NA,prime,bloom|blossom|efflorescence|flower|flush|heyday|peak|prime|prime of life|prime quantity,number|time period|period of time|period|canonical hour|adulthood|maturity
107,minister,NNP,NA,minist,curate|diplomatic minister|government minister|minister|minister of religion|parson|pastor|rector,clergyman|reverend|man of the cloth|executive|executive director|diplomat|diplomatist|public service
107,margaret,NNP,NA,margaret,,NA
107,thatcher,NNP,NA,thatcher,Baroness Thatcher of Kesteven|Iron Lady|Margaret Hilda Thatcher|Margaret Thatcher|thatcher|Thatcher,roofer
