clique_id,lemma,upos,affix,stem,synonyms,hypernyms
6,lineage,NN,NA,lineag,ancestry|blood|blood line|bloodline|derivation|descent|filiation|linage|line|line of descent|lineage|origin|parentage|pedigree|stemma|stock,genealogy|family tree|kinship|family relationship|relationship|number|rate|charge per unit|inheritance|hereditary pattern
6,tag,VBG,ing,tag,chase|chase after|dog|give chase|go after|label|mark|tag|tail|track|trail,attach|touch|name|call|know as|be known as|pursue|follow|rhyme|rime
6,experiment,NNS,s,experi,experiment|experimentation,scientific research|research project|inquiry|enquiry|research|venture
6,[,NN,NA,[,,NA
6,9,CD,NA,9,NA,NA
6,[,NN,NA,[,,NA
6,11,CD,NA,11,NA,NA
6,12,CD,NA,12,NA,NA
6,13,CD,NA,13,NA,NA
6,14,CD,NA,14,NA,NA
6,],NN,NA,],,NA
6,],NN,NA,],,NA
7,here,RB,NA,here,here|hither,NA
7,describe,VBP,NA,describ,account|delineate|depict|describe|discover|distinguish|draw|identify|key|key out|line|name|report|trace,set forth|expound|exposit|inform|mark
7,production,NN,NA,product,output|product|production|yield,act|deed|human action|human activity|presentation|creation|exhibition|indefinite quantity|display|industry|manufacture|creative activity
7,two,CD,NA,two,NA,NA
7,similar,JJ,NA,similar,alike(p)|exchangeable|interchangeable|like|similar|standardised|standardized,
7,cre,NNP,NA,cre,,NA
7,reporter,NN,NA,report,newsman|newsperson|reporter,communicator
7,allele,NNS,s,allel,allele|allelomorph,gene|cistron|factor
7,express,VBP,NA,express,carry|convey|evince|express|extract|give tongue to|press out|show|state|utter|verbalise|verbalize,convey|communicate|intercommunicate|denote|refer|realize|realise|actualize|actualise|substantiate|get|acquire|mail|post|send
7,enhance,VBN,ed,enhanc,enhance|heighten|raise,intensify|compound|heighten|deepen|better|improve|amend|ameliorate|meliorate
7,yellow,JJ,NA,yellow,chicken|chickenhearted|icteric|jaundiced|lily-livered|scandalmongering|sensationalistic|white-livered|xanthous|yellow|yellow-bellied|yellow(a)|yellowed|yellowish,
7,cyan,JJ,NA,cyan,blue-green|bluish green|cyan|teal,
7,fluorescent,NN,NA,fluoresc,fluorescent|fluorescent fixture,lighting fixture
7,protein,NN,NA,protein,protein,macromolecule|supermolecule
7,eyfp,NNP,NA,eyfp,,NA
7,ecfp,NNP,NA,ecfp,,NA
7,two,CD,NA,two,NA,NA
